,prev,next
0,영희는 학생이다. 그런데,얼마 전 인공 지능의 자연어 처리 논문을 발표하였던 사람이 이러한 영희이다.
1,영희는 학생이다. 그런데,얼마 전 인공 지능의 자연어 처리 논문을 발표하였던 사람이 이 영희이다.
2,영희는 학생이다. 그런데,얼마 전 인공 지능의 자연어 처리 논문을 발표하였던 사람이 영희이다.
3,영희는 미혼이다. 그런데,은행에서 근무하는 영수 친구들에 대하여 관심을 많이 보였던 사람이 이러한 영희이다.
4,영희는 미혼이다. 그런데,은행에서 근무하는 영수 친구들에 대하여 관심을 많이 보였던 사람이 이 영희이다.
5,영희는 미혼이다. 그런데,은행에서 근무하는 영수 친구들에 대하여 관심을 많이 보였던 사람이 영희이다.
6,영수는 농부이다. 그런데,작년에 박사 학위를 취득했던 사람이 이러한 영수이다.
7,영수는 농부이다. 그런데,작년에 박사 학위를 취득했던 사람이 이 영수이다.
8,영수는 농부이다. 그런데,작년에 박사 학위를 취득했던 사람이 영수이다.
9,영희는 마법사이다. 그런데,요즘 사람들의 인기를 얻고 있는 사람이 이러한 마법사이다.
10,영희는 마법사이다. 그런데,요즘 사람들의 인기를 얻고 있는 사람이 이 마법사이다.
11,영희는 마법사이다. 그런데,요즘 사람들의 인기를 얻고 있는 사람이 마법사이다.
12,영희는 작가이다. 그런데,예술가적 기질을 토대로 작품을 창작하고 있는 사람이 이러한 영희이다.
13,영희는 작가이다. 그런데,예술가적 기질을 토대로 작품을 창작하고 있는 사람이 이 영희이다.
14,영희는 작가이다. 그런데,예술가적 기질을 토대로 작품을 창작하고 있는 사람이 영희이다.
15,영희는 공무원이다. 그런데,늘 상냥하고 친절한 사람이 이러한 영희이다.
16,영희는 공무원이다. 그런데,늘 상냥하고 친절한 사람이 이 영희이다.
17,영희는 공무원이다. 그런데,늘 상냥하고 친절한 사람이 영희이다.
18,영수는 국가 유공자이다. 그런데,국가에 충성하고 부모에게 효도하는 사람이 이러한 영수이다.
19,영수는 국가 유공자이다. 그런데,국가에 충성하고 부모에게 효도하는 사람이 이 영수이다.
20,영수는 국가 유공자이다. 그런데,국가에 충성하고 부모에게 효도하는 사람이 영수이다.
21,영희는 비서이다. 그런데,빈틈없이 일을 처리하여 사람들의 사랑을 받고 있는 사람이 이러한 영희이다.
22,영희는 비서이다. 그런데,빈틈없이 일을 처리하여 사람들의 사랑을 받고 있는 사람이 이 영희이다.
23,영희는 비서이다. 그런데,빈틈없이 일을 처리하여 사람들의 사랑을 받고 있는 사람이 영희이다.
24,영수는 대통령이다. 그런데,올바른 생각과 정의로운 행동을 해 온 사람이 이러한 영수이다.
25,영수는 대통령이다. 그런데,올바른 생각과 정의로운 행동을 해 온 사람이 이 영수이다.
26,영수는 대통령이다. 그런데,올바른 생각과 정의로운 행동을 해 온 사람이 영수이다.
27,영희는 군인이다. 그런데,명예를 생명과 같이 생각하는 사람이 이러한 영희이다.
28,영희는 군인이다. 그런데,명예를 생명과 같이 생각하는 사람이 이 영희이다.
29,영희는 군인이다. 그런데,명예를 생명과 같이 생각하는 사람이 영희이다.
30,영희는 운동선수이다. 그런데,좋은 기량을 갖추고 있다는 평가를 받고 있는 사람이 이러한 영희이다.
31,영희는 운동선수이다. 그런데,좋은 기량을 갖추고 있다는 평가를 받고 있는 사람이 이 영희이다.
32,영희는 운동선수이다. 그런데,좋은 기량을 갖추고 있다는 평가를 받고 있는 사람이 영희이다.
33,영수는 예술가이다. 그런데,항상 작품 창작에 최선을 다하는 사람이 이러한 영수이다.
34,영수는 예술가이다. 그런데,항상 작품 창작에 최선을 다하는 사람이 이 영수이다.
35,영수는 예술가이다. 그런데,항상 작품 창작에 최선을 다하는 사람이 영수이다.
36,영수는 사업가이다. 그런데,대학에 입학하면서부터 사업에 두각을 나타냈던 사람이 이러한 영수이다.
37,영수는 사업가이다. 그런데,대학에 입학하면서부터 사업에 두각을 나타냈던 사람이 이 영수이다.
38,영수는 사업가이다. 그런데,대학에 입학하면서부터 사업에 두각을 나타냈던 사람이 영수이다.
39,영희는 외국인이다. 그런데,최근 한국에서 살고 싶다고 했던 사람이 이러한 영희이다.
40,영희는 외국인이다. 그런데,최근 한국에서 살고 싶다고 했던 사람이 이 영희이다.
41,영희는 외국인이다. 그런데,최근 한국에서 살고 싶다고 했던 사람이 영희이다.
42,영희는 연예인이다. 그런데,청소년들 사이에서 가장 인기가 높은 사람들 중의 하나가 이러한 연예인이다.
43,영희는 연예인이다. 그런데,청소년들 사이에서 가장 인기가 높은 사람들 중의 하나가 이 연예인이다.
44,영희는 연예인이다. 그런데,청소년들 사이에서 가장 인기가 높은 사람들 중의 하나가 연예인이다.
45,영희는 유목민이다. 그런데,말타기와 활쏘기에 능숙한 사람이 이러한 영희이다.
46,영희는 유목민이다. 그런데,말타기와 활쏘기에 능숙한 사람이 이 영희이다.
47,영희는 유목민이다. 그런데,말타기와 활쏘기에 능숙한 사람이 영희이다.
